"item","provider","Human","LLM"
"ast_h_1","PT-24-011",NA,NA
"ast_h_2","PT-24-011",NA,NA
"ast_h_3","PT-24-011",NA,NA
"ast_h_4","PT-24-011",NA,NA
"ast_h_5","PT-24-011",NA,NA
"ast_h_6","PT-24-011",NA,NA
"ast_h_7","PT-24-011",NA,NA
"ast_h_8","PT-24-011",NA,NA
"ast_h_9","PT-24-011",NA,NA
"ast_h_10","PT-24-011",NA,NA
"ast_h_11","PT-24-011",NA,NA
"ast_h_12","PT-24-011",NA,NA
"ast_h_13","PT-24-011",NA,NA
"ast_h_14","PT-24-011",NA,NA
"ast_h_15","PT-24-011",NA,NA
"ast_h_16","PT-24-011",NA,NA
"ast_h_17","PT-24-011",NA,NA
"ast_h_18","PT-24-011",NA,NA
"ast_h_19","PT-24-011",NA,NA
"ast_h_20","PT-24-011",NA,NA
"ast_h_21","PT-24-011",NA,NA
"ast_h_22","PT-24-011",NA,NA
"ast_h_23","PT-24-011",NA,NA
"ast_h_24","PT-24-011",NA,NA
"ast_h_25","PT-24-011",NA,NA
"ast_h_26","PT-24-011",NA,NA
"ast_h_27","PT-24-011",NA,NA
"ast_h_28","PT-24-011",NA,NA
"ast_h_29","PT-24-011",NA,NA
"ast_h_30","PT-24-011",NA,NA
"ast_h_31","PT-24-011",NA,NA
"ast_lt_1","PT-24-011",NA,NA
"ast_lt_2","PT-24-011",NA,NA
"ast_d","PT-24-011",NA,NA
"ast_t_1","PT-24-011",NA,NA
"ast_t_2","PT-24-011",NA,NA
"ast_t_3","PT-24-011",NA,NA
"ast_con_1","PT-24-011",NA,NA
"ast_con_2","PT-24-011",NA,NA
"ast_con_3","PT-24-011",NA,NA
"ast_con_4","PT-24-011",NA,NA
"ast_con_5","PT-24-011",NA,NA
"ast_referral","PT-24-011",NA,NA
"pne_h_1","PT-24-011",NA,NA
"pne_h_2","PT-24-011",NA,NA
"pne_h_3","PT-24-011",NA,NA
"pne_h_4","PT-24-011",NA,NA
"pne_h_5","PT-24-011",NA,NA
"pne_h_6","PT-24-011",NA,NA
"pne_h_7","PT-24-011",NA,NA
"pne_h_8","PT-24-011",NA,NA
"pne_h_9","PT-24-011",NA,NA
"pne_h_10","PT-24-011",NA,NA
"pne_h_11","PT-24-011",NA,NA
"pne_h_12","PT-24-011",NA,NA
"pne_h_13","PT-24-011",NA,NA
"pne_h_14","PT-24-011",NA,NA
"pne_h_15","PT-24-011",NA,NA
"pne_h_16","PT-24-011",NA,NA
"pne_h_17","PT-24-011",NA,NA
"pne_h_18","PT-24-011",NA,NA
"pne_h_19","PT-24-011",NA,NA
"pne_h_20","PT-24-011",NA,NA
"pne_lt_1","PT-24-011",NA,NA
"pne_lt_2","PT-24-011",NA,NA
"pne_d","PT-24-011",NA,NA
"pne_t_1","PT-24-011",NA,NA
"pne_t_2","PT-24-011",NA,NA
"pne_t_3","PT-24-011",NA,NA
"pne_t_4","PT-24-011",NA,NA
"pne_con_1","PT-24-011",NA,NA
"pne_con_2","PT-24-011",NA,NA
"pne_referral","PT-24-011",NA,NA
"t2d_h_1","PT-24-011",NA,NA
